M, A, D, T, LA, HA, LB, HB, LG, MG, NULL, PS
0, 0, 2, 2, 0, 1, 2, 1, 0, 0, , 25
0, 0, 25, 2, 1, 0, 2, 1, 1, 0, , 25
0, 0, 222286, 79730, 34853, 7880, 3949, 7029, 2229, 1911, , 25
0, 0, 934831, 1282912, 239859, 145797, 90930, 280166, 171205, 78836, , 0
0, 0, 209027, 76783, 4859, 1313, 4387, 1907, 3709, 1748, , 0
0, 0, 897563, 220444, 57595, 27274, 1790, 7194, 5013, 9510, , 0
53, 53, 30356, 10570, 7734, 16268, 4842, 19352, 34202, 17470, , 0
69, 51, 786310, 119144, 65523, 81600, 19054, 17386, 36571, 13429, , 0
81, 50, 182218, 202812, 68362, 61911, 15924, 22320, 13412, 10388, , 0
80, 56, 1759699, 82612, 9973, 5461, 13148, 15589, 14763, 9572, , 0
75, 44, 876869, 96441, 37678, 10529, 16110, 14323, 13540, 14759, , 0
67, 43, 1119195, 89829, 23772, 27994, 2158, 6910, 3632, 14821, , 0
60, 43, 425945, 34490, 3879, 4903, 2607, 3174, 7065, 2268, , 0
75, 34, 600958, 148796, 89544, 48386, 47420, 10147, 16124, 15729, , 0
77, 30, 855668, 95458, 26924, 19584, 11596, 11122, 10450, 7962, , 0
80, 40, 300242, 23842, 10890, 17943, 15874, 9211, 11896, 4760, , 0
91, 44, 101225, 23297, 14616, 15969, 9386, 7987, 6349, 5626, , 0
75, 54, 82217, 69956, 8443, 4402, 9348, 13476, 17365, 27599, , 0
64, 53, 612325, 221901, 19657, 17250, 32654, 16187, 9338, 20939, , 0
44, 44, 255938, 28334, 1102, 2161, 1140, 1558, 1857, 1014, , 0
40, 43, 1878925, 216518, 83263, 49641, 16419, 44279, 23804, 9950, , 0
54, 38, 590948, 200850, 127321, 31774, 36233, 28094, 45466, 38427, , 0
69, 43, 1154177, 62926, 16248, 32635, 5726, 12614, 9558, 11928, , 0
87, 57, 577392, 8242, 11534, 3176, 10803, 9266, 5990, 7655, , 0
64, 57, 1655109, 1131119, 60252, 17618, 50941, 157159, 98597, 35240, , 0
57, 64, 893833, 101960, 18906, 19644, 10549, 28765, 22326, 13195, , 0
47, 61, 951756, 254771, 48271, 5375, 16145, 21390, 14392, 12192, , 0
41, 53, 81430, 56319, 9927, 15209, 6902, 11967, 19741, 3383, , 0
47, 38, 382095, 306775, 22590, 6283, 8470, 4148, 15492, 9333, , 0
44, 26, 172575, 48473, 1594, 8769, 1541, 2229, 990, 1085, , 0
44, 24, 539992, 13010, 1481, 1593, 1528, 729, 192, 200, , 0
35, 11, 299059, 394840, 12441, 31491, 8685, 8646, 4910, 6760, , 0
43, 26, 338264, 233763, 31995, 52474, 54731, 39557, 15369, 10795, , 0
44, 29, 446400, 111222, 15809, 16096, 9569, 10699, 15217, 9314, , 0
54, 41, 938390, 10590, 6195, 3332, 982, 3962, 2291, 2288, , 0
67, 54, 81168, 36507, 17467, 11146, 20320, 10687, 8389, 9238, , 0
70, 51, 937974, 289931, 75511, 71779, 54090, 29377, 17518, 7024, , 0
75, 43, 506174, 167225, 37493, 19976, 16171, 6001, 8378, 6154, , 0
69, 38, 96588, 74467, 6913, 24077, 19552, 9063, 20942, 5957, , 0
78, 35, 33389, 21963, 22545, 12311, 6216, 5673, 9721, 9705, , 0
90, 41, 8966, 7309, 6280, 7306, 1648, 3533, 8667, 9470, , 0
88, 48, 708862, 62468, 14044, 9723, 9950, 7020, 6877, 7730, , 0
93, 54, 39730, 19321, 8539, 14756, 13871, 9976, 7887, 4448, , 0
91, 61, 11268, 9931, 9639, 11812, 6094, 8809, 6527, 2267, , 0
0, 0, 1771, 742, 230, 136, 87, 65, 18, 10, , 25
0, 0, 3, 1, 0, 0, 1, 0, 1, 0, , 25
0, 0, 577738, 325801, 44930, 12166, 7809, 8167, 7454, 8396, , 25
0, 0, 7297, 9483, 3151, 14361, 3636, 10423, 3920, 2230, , 0
0, 0, 291883, 4202, 6029, 7130, 2565, 570, 1168, 560, , 0
0, 0, 38929, 73612, 8009, 6465, 10473, 4760, 2634, 2005, , 0
37, 41, 21829, 33460, 4628, 8113, 5731, 5398, 2545, 2844, , 0
38, 53, 24668, 15425, 14261, 2177, 4160, 9113, 4626, 3276, , 0
27, 67, 18504, 14665, 1456, 2034, 5382, 7996, 5575, 3556, , 0
10, 70, 301505, 136341, 4868, 1600, 11491, 18476, 14043, 8528, , 0
11, 80, 1167216, 37457, 8223, 11271, 10383, 15178, 21254, 18586, , 0
8, 63, 1284716, 57809, 9821, 9632, 4122, 2851, 2708, 2672, , 0
16, 37, 109278, 72543, 8908, 11363, 4845, 2292, 4905, 2829, , 0
23, 26, 898474, 503842, 27781, 15372, 17991, 22399, 12148, 10750, , 0
23, 27, 198174, 21496, 7914, 4903, 4123, 13084, 4536, 3875, , 0
24, 34, 1737991, 330679, 97374, 25368, 23385, 29415, 28030, 6727, , 0
13, 41, 1895879, 298742, 10230, 10736, 10831, 16708, 18812, 11298, , 0
21, 38, 202018, 243778, 12337, 44949, 11554, 7974, 5778, 7177, , 0
26, 26, 743714, 18994, 9822, 4914, 5348, 3438, 1278, 2009, , 0
34, 24, 1420220, 61505, 37975, 19606, 7399, 7103, 12049, 6871, , 0
34, 24, 398522, 11993, 5981, 6127, 3771, 1353, 1071, 1416, , 26
35, 26, 231196, 91756, 5570, 3916, 8506, 7109, 6995, 4781, , 0
34, 26, 739617, 278039, 23044, 20319, 7710, 7968, 8894, 19880, , 0
23, 16, 96340, 103828, 17683, 1596, 2097, 3781, 3340, 4557, , 0
17, 23, 1312932, 124973, 17858, 58646, 58439, 24125, 26690, 26887, , 0
17, 16, 100260, 32266, 2518, 941, 1459, 1278, 1703, 650, , 0
23, 27, 256914, 33355, 5251, 4489, 1698, 4492, 4064, 2073, , 0
