M, A, D, T, LA, HA, LB, HB, LG, MG
0.0, 0.0, 7407.0, 5579.0, 514.0, 4392.0, 1403.0, 3285.0, 1216.0, 1551.0
0.0, 0.0, 6018.0, 3617.0, 254.0, 5647.0, 4107.0, 5637.0, 1477.0, 1174.0
0.0, 0.0, 2623.0, 10757.0, 908.0, 4803.0, 3425.0, 3452.0, 844.0, 1155.0
30.0, 30.0, 1314742.0, 187903.0, 18711.0, 12288.0, 3788.0, 5760.0, 1972.0, 2915.0
48.0, 27.0, 446233.0, 140385.0, 71085.0, 14897.0, 5700.0, 12327.0, 9949.0, 7519.0
48.0, 30.0, 511847.0, 100945.0, 12483.0, 23532.0, 15860.0, 19997.0, 9236.0, 9929.0
57.0, 30.0, 1097163.0, 59628.0, 23868.0, 9061.0, 17134.0, 9125.0, 7812.0, 1389.0
88.0, 40.0, 767797.0, 8891.0, 6860.0, 3955.0, 4716.0, 1653.0, 1027.0, 773.0
66.0, 41.0, 969457.0, 153689.0, 23845.0, 11989.0, 24136.0, 16003.0, 29794.0, 13717.0
66.0, 34.0, 2541502.0, 480968.0, 102854.0, 43303.0, 49865.0, 26092.0, 40324.0, 22262.0
75.0, 35.0, 182755.0, 32488.0, 17684.0, 8643.0, 4018.0, 6612.0, 2839.0, 5074.0
67.0, 30.0, 373773.0, 119253.0, 43253.0, 29047.0, 9309.0, 8381.0, 2576.0, 4364.0
83.0, 34.0, 30803.0, 23967.0, 8110.0, 7837.0, 8426.0, 5505.0, 5488.0, 7161.0
77.0, 50.0, 38377.0, 9516.0, 1627.0, 1970.0, 6711.0, 4709.0, 3522.0, 2047.0
56.0, 54.0, 21855.0, 21275.0, 4990.0, 3136.0, 6547.0, 6773.0, 5489.0, 3180.0
48.0, 61.0, 286833.0, 107943.0, 47787.0, 7475.0, 42310.0, 24265.0, 9559.0, 6606.0
41.0, 60.0, 87364.0, 63030.0, 12851.0, 10276.0, 7469.0, 9656.0, 1589.0, 798.0
64.0, 51.0, 880869.0, 51635.0, 20791.0, 14751.0, 3457.0, 10002.0, 2943.0, 1583.0
70.0, 51.0, 25582.0, 23782.0, 11025.0, 3816.0, 13902.0, 7909.0, 4016.0, 2060.0
88.0, 54.0, 1220290.0, 38001.0, 69757.0, 30311.0, 48305.0, 29063.0, 9999.0, 4683.0
66.0, 50.0, 1209549.0, 159170.0, 2253.0, 12107.0, 10874.0, 8400.0, 3663.0, 3059.0
