M, A, D, T, LA, HA, LB, HB, LG, MG, NULL, PS
0, 0, 2, 1, 1, 0, 0, 0, 0, 0, , 25
0, 0, 1, 0, 0, 1, 1, 0, 1, 0, , 25
0, 0, 449410, 333227, 78769, 15854, 4275, 8060, 10158, 15548, , 25
0, 0, 14662, 2486, 4159, 3877, 7183, 6650, 4759, 1459, , 0
0, 0, 4476, 7217, 3592, 1541, 7365, 5679, 3703, 2939, , 0
0, 0, 6368, 10472, 3529, 2524, 2853, 4250, 1536, 2281, , 0
51, 30, 3600, 8589, 5130, 8736, 4336, 3745, 6373, 3591, , 0
66, 16, 10938, 12278, 7722, 14849, 10351, 4577, 4873, 4138, , 0
69, 23, 21120, 8964, 5342, 4916, 6569, 8001, 5551, 2254, , 0
61, 4, 64886, 117601, 22566, 15681, 10777, 5598, 4014, 3956, , 0
63, 21, 8024, 7484, 476, 15077, 5251, 7066, 2524, 3141, , 0
41, 29, 113050, 44673, 6796, 17864, 30617, 6675, 6095, 2306, , 0
29, 7, 233965, 94186, 20936, 7298, 10791, 5283, 5985, 5933, , 0
41, 21, 2113, 29972, 9001, 7395, 1278, 5383, 8354, 4664, , 0
29, 26, 6213, 9078, 1542, 9987, 6997, 8567, 3038, 3468, , 0
47, 40, 6450, 6936, 5012, 8975, 5013, 6695, 2343, 1694, , 0
41, 50, 42825, 38628, 1077, 9905, 12114, 4716, 8802, 3490, , 0
37, 48, 272317, 59297, 28534, 1414, 7231, 8315, 4455, 2735, , 0
34, 43, 2912, 17226, 2385, 8173, 3984, 7273, 2467, 8000, , 0
24, 43, 5359, 8662, 3181, 4906, 2597, 5721, 2392, 3816, , 0
38, 54, 3534, 10049, 6698, 1083, 7627, 4225, 2894, 2946, , 0
60, 56, 220462, 9623, 13893, 3362, 2582, 3108, 1110, 900, , 0
60, 48, 2277, 10383, 4300, 3920, 9718, 2853, 4023, 5610, , 0
57, 44, 99458, 17035, 12538, 3414, 13345, 9212, 3571, 2989, , 0
64, 27, 24820, 31018, 13076, 10382, 9593, 3372, 3952, 4900, , 0
51, 30, 2250, 11274, 2777, 8537, 4088, 3165, 3938, 3552, , 0
57, 40, 18750, 9378, 6087, 4454, 4836, 5949, 4979, 3037, , 0
53, 38, 63239, 31995, 14641, 3165, 11803, 11803, 7107, 5427, , 0
